index,Date,Plat,Wfeculent,Wfruit,Wlegume,Wbio,Windustriel,month,match,category,is_saison
2302,2018-04-11,Beignet au chocolat,0.5,0.0,0.0,0,1,4,,,False
2303,2018-04-12,Concombres sauce crème,0.0,0.0,0.5,0,1,4,concombre,legume,True
2304,2018-04-12,Frites,1.0,0.0,0.0,0,1,4,,,False
2307,2018-04-18,Salade de fruits au sirop,0.0,0.5,0.5,0,0,4,,,False
2308,2018-04-30,Crêpe au fromage,0.5,0.0,0.0,0,0,4,,,False
2309,2018-04-30,Carottes au cumin,0.0,0.0,1.0,0,0,4,carotte,legume,True
2311,2018-05-14,Lasagnes* napolitaines,0.3333333333333333,0.0,0.3333333333333333,0,0,5,,,False
2312,2018-05-16,Céleri rémoulade bio,0.0,0.0,1.0,1,0,5,celeri,legume,False
2314,2018-05-30,Ratatouille/blé bio,1.0,0.0,0.0,1,1,5,,,False
2315,2018-05-31,Purée de légumes verts,0.0,0.0,1.0,0,0,5,,,False
2317,2018-06-04,"Poêlée de légumes (carottes, haricots verts, pdt, brocolis)",0.5,0.0,0.5,0,0,6,carotte,legume,True
2318,2018-06-06,Salade de pâtes Napoli,0.3333333333333333,0.0,0.3333333333333333,0,1,6,,,False
2320,2018-06-08,Tortilla aux pommes de terre,0.0,1.0,0.0,0,0,6,pomme de terre,legume,False
2322,2018-06-14,Tarte au citron,0.0,1.0,0.0,0,0,6,citron,fruit,True
2324,2018-06-18,"Salade carnaval (tomates, maïs, concombres)",0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,6,concombre,legume,True
2327,2018-06-20,Saute de canard sauce À l'orange,0.0,0.3333333333333333,0.0,0,1,6,orange,fruit,False
2328,2018-06-26,Banane,0.0,1.0,0.0,0,0,6,,,False
2329,2018-06-27,Gaspacho,0.0,0.0,1.0,0,0,6,,,False
2330,2018-06-27,Cerises,0.0,1.0,0.0,0,0,6,cerise,fruit,True
2333,2018-07-02,Raviolis de légumes,0.5,0.0,0.5,0,0,7,,,False
2334,2018-07-03,Ratatouille/blé bio,1.0,0.0,0.0,1,1,7,,,False
2335,2018-07-05,Haricots verts/haricots beurre,0.5,0.0,0.5,0,0,7,haricots verts,legume,True
2338,2018-07-09,Melon,0.0,1.0,0.0,0,0,7,melon,fruit,True
2339,2018-07-10,Petits panés de volaille*,0.0,0.0,1.0,0,0,7,ail,legume,True
2341,2018-07-13,"Salade de riz (riz, maïs, carottes, poivrons)",0.5,0.0,0.5,0,0,7,carotte,legume,True
2344,2018-07-23,Salade verte,0.0,0.0,1.0,0,0,7,salade verte,legume,True
2345,2018-07-31,Gratin de choux fleurs,0.0,0.0,1.0,0,0,7,chou,legume,False
2347,2018-08-03,Salade verte / demi-oeuf,0.0,0.0,0.5,0,0,8,salade verte,legume,True
2348,2018-08-03,Galette de soja  tomate / basilic et sa sauce tomate,0.0,0.3333333333333333,0.3333333333333333,0,1,8,tomate,fruit,True
2349,2018-08-06,Viande de volaille Kebab,0.0,0.0,1.0,0,0,8,ail,legume,True
2350,2018-08-06,Ratatouille,0.0,0.0,1.0,0,1,8,,,False
2351,2018-08-06,Madeleine,0.5,0.0,0.0,0,1,8,,,False
2352,2018-08-08,Gratin de choux fleurs,0.0,0.0,1.0,0,0,8,chou,legume,False
2353,2018-08-09,Fraises,0.0,1.0,0.0,0,0,8,fraise,fruit,True
2355,2018-08-28,Carottes râpées bio°,0.0,0.0,0.5,1,0,8,carotte,legume,True
